id,name,full_name,parent_handle,sku,production_year,origin,price,compare_at_price,parent_id,total_quantity,sold_quantity,brand,product_gender,product_style,product_note,rate,count_rate,count_rate_1,count_rate_2,count_rate_3,count_rate_4,count_rate_5,description
1003772321,Dsquared2 Icon Pour Homme,Dsquared2 Icon Pour Homme - 100ml Tester,dsquared2-icon-pour-homme,110100204700,2024,Ý,2200000,0,1003772317,0,0,DSQUARED2,['Nam'],"['Tinh tế', 'Nam tính', 'Cuốn hút']","['Hương gừng', 'Cây xô thơm']",0.0,0,0,0,0,0,0,"Hương đầu: Gừng, Cam chanh Hương giữa: Hoa tulip, Xô thơm, Phong lữ, Oải hương Hương cuối: Akigalawood, Gỗ tuyết tùng, Hoắc hương Dsquared2 Icon Pour Homme mang trong mình tinh thần tươi trẻ và tự do của những gã trai hiện đại, khi mà tuổi trẻ vẫn còn nhiều điều để khám phá, tâm hồn vẫn còn rong ruổi và trái tim vẫn tràn đầy nhiệt huyết. Nhắc đến ""trẻ trung"" thì chẳng thể nào thiếu lấy Cam chanh, thứ hương thơm có thể đem đến làn gió mát lạ kỳ đến khứu giác, để rồi được ghì lại bằng một cái ôm ấm áp nồng say của Gừng. Tôi thích Gừng, thích cách nó bung tỏa hương thơm cay hăng rất đỗi nhẹ nhàng chứ chẳng táo bạo như Tiêu hay Quế. Xô thơm, Phong lữ và Oải hương chiếm đóng khứu giác những giây phút về sau, bộ ba hương thơm ""bất bại"" trong việc tái hiện hình ảnh người đàn ông lịch lãm và không kém phần tinh tế. Thảo mộc xanh xanh, khô khô, được nhấn nhá thêm phần sâu lắng nhờ Gỗ tuyết tùng và Hoắc hương."
1003772317,Dsquared2 Icon Pour Homme,Dsquared2 Icon Pour Homme - 100ml,dsquared2-icon-pour-homme,110100204699,2024,Ý,2200000,2211000,0,38,1,DSQUARED2,['Nam'],"['Tinh tế', 'Nam tính', 'Cuốn hút']","['Hương gừng', 'Hoa Tulip', 'Cây xô thơm']",0.0,0,0,0,0,0,0,"Hương đầu: Gừng, Cam chanh Hương giữa: Hoa tulip, Xô thơm, Phong lữ, Oải hương Hương cuối: Akigalawood, Gỗ tuyết tùng, Hoắc hương Dsquared2 Icon Pour Homme mang trong mình tinh thần tươi trẻ và tự do của những gã trai hiện đại, khi mà tuổi trẻ vẫn còn nhiều điều để khám phá, tâm hồn vẫn còn rong ruổi và trái tim vẫn tràn đầy nhiệt huyết. Nhắc đến ""trẻ trung"" thì chẳng thể nào thiếu lấy Cam chanh, thứ hương thơm có thể đem đến làn gió mát lạ kỳ đến khứu giác, để rồi được ghì lại bằng một cái ôm ấm áp nồng say của Gừng. Tôi thích Gừng, thích cách nó bung tỏa hương thơm cay hăng rất đỗi nhẹ nhàng chứ chẳng táo bạo như Tiêu hay Quế. Xô thơm, Phong lữ và Oải hương chiếm đóng khứu giác những giây phút về sau, bộ ba hương thơm ""bất bại"" trong việc tái hiện hình ảnh người đàn ông lịch lãm và không kém phần tinh tế. Thảo mộc xanh xanh, khô khô, được nhấn nhá thêm phần sâu lắng nhờ Gỗ tuyết tùng và Hoắc hương."
1003772262,Dsquared2 Icon Pour Femme,Dsquared2 Icon Pour Femme - 100ml Tester,dsquared2-icon-pour-femme,110100204698,2024,Ý,2200000,0,1003772251,0,0,DSQUARED2,['Nữ'],"['Tươi mát', 'Tinh tế', 'Trẻ trung']","['Hương Cam quýt', 'Hoa nhài', 'Kẹo praline']",0.0,0,0,0,0,0,0,"Hương đầu: Cam chanh, Tiêu hồng Hương giữa: Hoa nhài, Praline Hương cuối: Gỗ đàn hương, Vanilla, Xạ hương Có một điều tôi thích ở nhà DSQUARED2 ấy là phong cách tạo hương cho phái đẹp rất mềm mại nhưng không hề nhàm chán. Chẳng cần phải phá cách hay táo bạo để được chú ý, DSQUARED2 vẫn ưu ái những nốt hương quen thuộc làm chủ điểm và nâng cấp chúng bằng các ""hương thơm vệ tinh"" độc đáo. Hoa nhài luôn là hương thơm tôn lên nét đẹp nữ tính nhất, nhưng chúng cũng có những nhược điểm: quá xanh, quá nồng nàn, hơi dừ đôi chút. Icon Pour Femme đã thông minh lựa chọn Praline và Cam chanh, một mặt thì thêm những khía cạnh ngọt ngào, mềm mại để gọt giũa cái nét xanh xanh sắc sảo của Nhài. Một mặt thì điểm xuyết thêm những thanh tao vui tươi, giúp nụ hoa trắng ngần ấy trở nên trẻ trung và sáng màu hơn hẳn. Gỗ đàn hương - Vanilla - Xạ hương, bộ ba hương thơm nếu tôi có thể đặt tên thì ấy sẽ là ""hương thơm của những đám mây"": bông phấn, ngọt ngào, mềm mịn vương vấn mãi trên làn da."
1003772251,Dsquared2 Icon Pour Femme,Dsquared2 Icon Pour Femme - 100ml,dsquared2-icon-pour-femme,110100204697,2024,Ý,2200000,2211000,0,39,2,DSQUARED2,['Nữ'],"['Tươi mát', 'Tinh tế', 'Trẻ trung']","['Hương Cam quýt', 'Hoa nhài', 'Kẹo praline']",0.0,0,0,0,0,0,0,"Hương đầu: Cam chanh, Tiêu hồng Hương giữa: Hoa nhài, Praline Hương cuối: Gỗ đàn hương, Vanilla, Xạ hương Có một điều tôi thích ở nhà DSQUARED2 ấy là phong cách tạo hương cho phái đẹp rất mềm mại nhưng không hề nhàm chán. Chẳng cần phải phá cách hay táo bạo để được chú ý, DSQUARED2 vẫn ưu ái những nốt hương quen thuộc làm chủ điểm và nâng cấp chúng bằng các ""hương thơm vệ tinh"" độc đáo. Hoa nhài luôn là hương thơm tôn lên nét đẹp nữ tính nhất, nhưng chúng cũng có những nhược điểm: quá xanh, quá nồng nàn, hơi dừ đôi chút. Icon Pour Femme đã thông minh lựa chọn Praline và Cam chanh, một mặt thì thêm những khía cạnh ngọt ngào, mềm mại để gọt giũa cái nét xanh xanh sắc sảo của Nhài. Một mặt thì điểm xuyết thêm những thanh tao vui tươi, giúp nụ hoa trắng ngần ấy trở nên trẻ trung và sáng màu hơn hẳn. Gỗ đàn hương - Vanilla - Xạ hương, bộ ba hương thơm nếu tôi có thể đặt tên thì ấy sẽ là ""hương thơm của những đám mây"": bông phấn, ngọt ngào, mềm mịn vương vấn mãi trên làn da."
1003771959,Nishane Hacivat,Nishane Hacivat - 100ml Tester,nishane-hacivat-1,110100204696,2017,Thổ Nhĩ Kỳ,7850000,0,1003771949,0,0,Nishane,['Unisex'],"['Tinh tế', 'Trưởng Thành', 'Cuốn hút']","['Hương rêu sồi', 'Quả dứa', 'Bưởi']",0.0,0,0,0,0,0,0,"Hương đầu: Dứa, Bưởi, Cam bergamot Hương giữa: Gỗ tuyết tùng, Hoắc hương, Hoa nhài Hương cuối: Rêu sồi, Hương gỗ Lấy cảm hứng từ nhân vật nổi tiếng trong nghệ thuật múa rối bóng ở Thổ Nhĩ Kỳ, Nishane Hacivat giàu tính thơ ca, cuốn hút và tinh tế trong chính tinh thần và hương thơm của mình. Vì vậy, nếu bạn đang tìm kiếm một hương thơm thông dụng dễ dùng, Hacivat không dành cho bạn đâu, mà hương thơm này sẽ đòi hỏi bạn phải dành thời gian cho nó để phân tích, suy ngẫm và thấu hiểu dụng ý của những nốt hương đó. Đừng vội cảm thấy ""dội"" khi bạn được chào mừng ngay bởi Rêu sồi và Hoắc hương, bí ẩn trầm mặc bám chặt lấy khứu giác, cảm giác như rơi vào một hố sâu tăm tối như Alice rơi vào hố thỏ. Hãy chờ, chờ đến khi sự thanh thoát của Dứa và Bưởi lần lượt hé lộ sau làn hương vang dội ấy, hẳn bầu không khí sẽ tươi trong và thoáng đãng hơn nhiều chút, ấy thế bộ đôi Cam chanh này vẫn sẽ không làm phai nhạt cái nét độc đáo ban đầu đâu. Cảm giác càng về sau càng khó diễn tả, hệt như làn da của ta khi đã dần quen với làn nước nóng, từng thớ cơ dần dần giãn ra thư thái, và ta thực sự đắm mình trong bể nước nóng bỏng ấy chứ chẳng còn dè chừng như phút ban đầu. Một mùi hương rất dễ chịu và lãng mạn khi bạn dành đủ thời gian cho nó."
1003771949,Nishane Hacivat,Nishane Hacivat - 100ml,nishane-hacivat-1,110100204695,2017,Thổ Nhĩ Kỳ,7850000,8756000,0,40,0,Nishane,['Unisex'],"['Tinh tế', 'Trưởng Thành', 'Cuốn hút']","['Hương rêu sồi', 'Quả dứa', 'Bưởi']",0.0,0,0,0,0,0,0,"Hương đầu: Dứa, Bưởi, Cam bergamot Hương giữa: Gỗ tuyết tùng, Hoắc hương, Hoa nhài Hương cuối: Rêu sồi, Hương gỗ Lấy cảm hứng từ nhân vật nổi tiếng trong nghệ thuật múa rối bóng ở Thổ Nhĩ Kỳ, Nishane Hacivat giàu tính thơ ca, cuốn hút và tinh tế trong chính tinh thần và hương thơm của mình. Vì vậy, nếu bạn đang tìm kiếm một hương thơm thông dụng dễ dùng, Hacivat không dành cho bạn đâu, mà hương thơm này sẽ đòi hỏi bạn phải dành thời gian cho nó để phân tích, suy ngẫm và thấu hiểu dụng ý của những nốt hương đó. Đừng vội cảm thấy ""dội"" khi bạn được chào mừng ngay bởi Rêu sồi và Hoắc hương, bí ẩn trầm mặc bám chặt lấy khứu giác, cảm giác như rơi vào một hố sâu tăm tối như Alice rơi vào hố thỏ. Hãy chờ, chờ đến khi sự thanh thoát của Dứa và Bưởi lần lượt hé lộ sau làn hương vang dội ấy, hẳn bầu không khí sẽ tươi trong và thoáng đãng hơn nhiều chút, ấy thế bộ đôi Cam chanh này vẫn sẽ không làm phai nhạt cái nét độc đáo ban đầu đâu. Cảm giác càng về sau càng khó diễn tả, hệt như làn da của ta khi đã dần quen với làn nước nóng, từng thớ cơ dần dần giãn ra thư thái, và ta thực sự đắm mình trong bể nước nóng bỏng ấy chứ chẳng còn dè chừng như phút ban đầu. Một mùi hương rất dễ chịu và lãng mạn khi bạn dành đủ thời gian cho nó."
1003771907,Nishane Ani,Nishane Ani - 100ml Tester,nishane-ani,110100204694,2019,Thổ Nhĩ Kỳ,7650000,0,1003771879,0,0,Nishane,['Unisex'],"['Độc đáo', 'Cuốn hút', 'Tinh tế']","['Hương vani', 'Gừng', 'Cam bergamot']",0.0,0,0,0,0,0,0,"Hương đầu: Gừng, Cam bergamot, Tiêu hồng, Hương xanh Hương giữa: Nhục đậu khấu, Lý chua đen, Hoa hồng Hương cuối: Vanilla, Benzoin, Gỗ đàn hương, Gỗ tuyết tùng, Hoắc hương, Long diên hương, Xạ hương Khi nhắc đến Vanilla, ta thường dùng những ""ngọt ngào"" hay ""bông mịn"" để miêu tả chúng trong thế giới hương thơm. Dần dà, ta tưởng như quen với việc một chai nước hoa có Vanilla nhất định phải theo xu hướng ngọt ngào gourmand mà lỡ mất rằng Vanilla có thể biển chuyển vô vàn khi được trao cho cơ hội kết hợp với các nốt hương độc đáo khác. Nishane Ani là một ví dụ điển hình, sánh đặc vị thơm của Vanilla nhưng lần lại sánh đôi với nó là Gừng - thứ hương cay xanh, ấm cúng và dễ khiến người ta cảm thấy an toàn. Tôi muốn ví nó như những chiếc bánh quy Giáng sinh, ngọt ngào và thoáng cay nơi chóp mũi, nhưng Ani lại phức tạp hơn thế nhiều khi đáp trên làn da. Dẫu Vanilla xuất hiện xuyên suốt trong hành trình tỏa hương, thế nhưng các nốt hương vệ tinh xung quanh nó liên tục thế chỗ nhau, khiến cho hương thơm dẫu ngọt ngào nhưng không hề đơn điệu. Có khi vị ngọt ấy được nâng đỡ bởi chút cay của gia vị, có khi là tĩnh mịch của gỗ, cũng lắm khi vui tươi dịu dàng với hoa cùng trái."
1003771879,Nishane Ani,Nishane Ani - 100ml,nishane-ani,110100204693,2019,Thổ Nhĩ Kỳ,7650000,8525000,0,40,0,Nishane,['Unisex'],"['Độc đáo', 'Cuốn hút', 'Tinh tế']","['Hương vani', 'Gừng', 'Cam bergamot']",0.0,0,0,0,0,0,0,"Hương đầu: Gừng, Cam bergamot, Tiêu hồng, Hương xanh Hương giữa: Nhục đậu khấu, Lý chua đen, Hoa hồng Hương cuối: Vanilla, Benzoin, Gỗ đàn hương, Gỗ tuyết tùng, Hoắc hương, Long diên hương, Xạ hương Khi nhắc đến Vanilla, ta thường dùng những ""ngọt ngào"" hay ""bông mịn"" để miêu tả chúng trong thế giới hương thơm. Dần dà, ta tưởng như quen với việc một chai nước hoa có Vanilla nhất định phải theo xu hướng ngọt ngào gourmand mà lỡ mất rằng Vanilla có thể biển chuyển vô vàn khi được trao cho cơ hội kết hợp với các nốt hương độc đáo khác. Nishane Ani là một ví dụ điển hình, sánh đặc vị thơm của Vanilla nhưng lần lại sánh đôi với nó là Gừng - thứ hương cay xanh, ấm cúng và dễ khiến người ta cảm thấy an toàn. Tôi muốn ví nó như những chiếc bánh quy Giáng sinh, ngọt ngào và thoáng cay nơi chóp mũi, nhưng Ani lại phức tạp hơn thế nhiều khi đáp trên làn da. Dẫu Vanilla xuất hiện xuyên suốt trong hành trình tỏa hương, thế nhưng các nốt hương vệ tinh xung quanh nó liên tục thế chỗ nhau, khiến cho hương thơm dẫu ngọt ngào nhưng không hề đơn điệu. Có khi vị ngọt ấy được nâng đỡ bởi chút cay của gia vị, có khi là tĩnh mịch của gỗ, cũng lắm khi vui tươi dịu dàng với hoa cùng trái."
1003771847,Nishane Fan Your Flames,Nishane Fan Your Flames - 100ml Tester,nishane-fan-your-flames,110100204692,2016,Thổ Nhĩ Kỳ,7450000,0,1003771838,0,0,Nishane,['Unisex'],"['Độc đáo', 'Tinh tế', 'Cuốn hút']","['Hương dừa', 'Rượu rum', 'Thuốc lá']",0.0,0,0,0,0,0,0,"Hương đầu: Dừa, Rượu rum Hương giữa: Thuốc lá, Đậu tonka Hương cuối: Gỗ tuyết tùng, Rêu sồi Nishane Fan Your Flames không phải là một hương thơm ""sừng sỏ"" nhưng phải khiến bạn phải dè chừng và suy tính những biến chuyển trong từng lớp hương mà nó chất chứa. Vẫn là Thuốc lá và Rượu rum - bộ đôi hương thơm chỉ dành cho những người dã sành sỏi trong giới yêu hương, thế nhưng lần này ẩn nấp sau bộ đôi ấy là cái gì đấy ngọt ngào nhưng khô hăng, tưởng chừng rất dễ nắm bắt nhưng càng cố lại gần lại càng thấy xa vời hơn. Tôi không hẳn là fan của Rượu rum cả trong đồ uống và mùi hương, thế nhưng không thể nào phủ nhận Rượu rum chưa bao giờ thất bại trong việc tái hiện hình ảnh của người đàn ông từng trải, chững chạc và đấy tính toán trong đầu. Nếu có bắt gặp một gã trai dùng mùi hương của Rum, tôi sẽ mặc định ngay ấy là một gã trai không hề dễ xơi. Nhưng Rum và Dừa, một bên khô hăng táo bạo, bên còn lại mướt mềm béo ngon. Tôi chưa bao giờ thử tưởng tượng bộ đôi hương thơm ấy lại có ngày hòa quyện và trở nên đáng ""thèm thuồng"" như thế trong Nishane Fan Your Flames, chưa kể đến Đậu tonka với những nét ngọt rất dịu và ấm lân la quấn lấy từng ngụm Rum."
1003771838,Nishane Fan Your Flames,Nishane Fan Your Flames - 100ml,nishane-fan-your-flames,110100204691,2016,Thổ Nhĩ Kỳ,7450000,8283000,0,20,0,Nishane,['Unisex'],"['Độc đáo', 'Tinh tế', 'Cuốn hút']","['Hương dừa', 'Rượu rum', 'Thuốc lá']",0.0,0,0,0,0,0,0,"Hương đầu: Dừa, Rượu rum Hương giữa: Thuốc lá, Đậu tonka Hương cuối: Gỗ tuyết tùng, Rêu sồi Nishane Fan Your Flames không phải là một hương thơm ""sừng sỏ"" nhưng phải khiến bạn phải dè chừng và suy tính những biến chuyển trong từng lớp hương mà nó chất chứa. Vẫn là Thuốc lá và Rượu rum - bộ đôi hương thơm chỉ dành cho những người dã sành sỏi trong giới yêu hương, thế nhưng lần này ẩn nấp sau bộ đôi ấy là cái gì đấy ngọt ngào nhưng khô hăng, tưởng chừng rất dễ nắm bắt nhưng càng cố lại gần lại càng thấy xa vời hơn. Tôi không hẳn là fan của Rượu rum cả trong đồ uống và mùi hương, thế nhưng không thể nào phủ nhận Rượu rum chưa bao giờ thất bại trong việc tái hiện hình ảnh của người đàn ông từng trải, chững chạc và đấy tính toán trong đầu. Nếu có bắt gặp một gã trai dùng mùi hương của Rum, tôi sẽ mặc định ngay ấy là một gã trai không hề dễ xơi. Nhưng Rum và Dừa, một bên khô hăng táo bạo, bên còn lại mướt mềm béo ngon. Tôi chưa bao giờ thử tưởng tượng bộ đôi hương thơm ấy lại có ngày hòa quyện và trở nên đáng ""thèm thuồng"" như thế trong Nishane Fan Your Flames, chưa kể đến Đậu tonka với những nét ngọt rất dịu và ấm lân la quấn lấy từng ngụm Rum."
